origpathname,unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
"Cerambycidae, Lamiinae/Arctolamia strandi 56316cz22.jpg",699,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/699.jpg,Arctolamia strandi,Arctolamia strandi,Cerambycidae,Lamiinae,Arctolamia,strandi,,PA,CN,China,Yunnan ,,,Dorsal
"Cerambycidae, Lamiinae/Arctolamia villosa 56323cz29 copie.jpg",700,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/700.jpg,Arctolamia villosa,Arctolamia villosa,Cerambycidae,Lamiinae,Arctolamia,villosa,,PA,CN,China,Yunnan ,Tche-Ping-Tcheou ,,Dorsal
"Cerambycidae, Lamiinae/Arctolamia villosa 56330cz38.JPG",701,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/701.jpg,Arctolamia villosa,Arctolamia villosa,Cerambycidae,Lamiinae,Arctolamia,villosa,,PA,CN,China,Yunnan ,Tche-Ping-Tcheou ,,Dorsal
"Cerambycidae, Lamiinae/Arctolamia villosa 56339cz47 copie.jpg",702,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/702.jpg,Arctolamia villosa,Arctolamia villosa,Cerambycidae,Lamiinae,Arctolamia,villosa,,PA,CN,China,Yunnan ,Tche-Ping-Tcheou ,,Lateral
"Cerambycidae, Lamiinae/Aristobia birmanica 56258cz65.jpg",703,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/703.jpg,Aristobia birmanica,Aristobia birmanica,Cerambycidae,Lamiinae,Aristobia,birmanica,,OL,MM,Myanmar,Bago ,Toungoo,10/1887,Dorsal
"Cerambycidae, Lamiinae/Aristobia hispida 56270cz77.jpg",704,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/704.jpg,Aristobia hispida,Aristobia hispida,Cerambycidae,Lamiinae,Aristobia,hispida,,PA,CN,China,Zhejiang ,Ningbo,,Dorsal
"Cerambycidae, Lamiinae/Aristobia hispida 56278cz84.jpg",705,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/705.jpg,Aristobia hispida,Aristobia hispida,Cerambycidae,Lamiinae,Aristobia,hispida,,PA,CN,China,Zhejiang ,Ningbo,,Lateral
"Cerambycidae, Lamiinae/Aristobia hispida 56285cz90.jpg",706,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/706.jpg,Aristobia hispida,Aristobia hispida,Cerambycidae,Lamiinae,Aristobia,hispida,,PA,CN,China,Zhejiang ,Ningbo,,Lateral
"Cerambycidae, Lamiinae/Aristobia testudo 56264cz69.jpg",707,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/707.jpg,Aristobia testudo,Aristobia testudo,Cerambycidae,Lamiinae,Aristobia,testudo,,OL,VN,Vietnam,,,,Dorsal
"Cerambycidae, Lamiinae/Armastosterna spinifera 52715cz20.jpg",708,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/708.jpg,Armastosterna spinifera,Armastosterna spinifera,Cerambycidae,Lamiinae,Armastosterna,spinifera,,AT,GQ,Equatorial Guinea,,Nkolentangan,05/1908,Dorsal
"Cerambycidae, Lamiinae/Atybe planti 55398cz05.jpg",709,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/709.jpg,Atybe planti,Atybe planti,Cerambycidae,Lamiinae,Atybe,planti,,AT,MG,Madagascar,Alaotra-Mangoro ,"Didy, Lac Alaotra",,Dorsal
"Cerambycidae, Lamiinae/Bangalaia fischeri 54462cz68.jpg",710,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/710.jpg,Bangalaia fischeri,Bangalaia fischeri,Cerambycidae,Lamiinae,Bangalaia,fischeri,,AT,CM,Cameroon,Littoral Region ,Dibongo (Sanaga River),,Dorsal
"Cerambycidae, Lamiinae/Bangalaia fischeri 54469cz74.jpg",711,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/711.jpg,Bangalaia fischeri,Bangalaia fischeri,Cerambycidae,Lamiinae,Bangalaia,fischeri,,AT,CM,Cameroon,Littoral Region ,Dibongo (Sanaga River),,Lateral
"Cerambycidae, Lamiinae/Bangalaia fischeri 54475cz80.jpg",712,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/712.jpg,Bangalaia fischeri,Bangalaia fischeri,Cerambycidae,Lamiinae,Bangalaia,fischeri,,AT,CI,Côte d'Ivoire ,N'zi-Comoé ,Dimbokro ,,Dorsal
"Cerambycidae, Lamiinae/Bangalaia fulvomarginata 54446cz48.jpg",713,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/713.jpg,Bangalaia fulvomarginata,Bangalaia fulvomarginata,Cerambycidae,Lamiinae,Bangalaia,fulvomarginata,,AT,CD,"Congo, The Democratic Republic of the",,Pangala,,Dorsal
"Cerambycidae, Lamiinae/Bangalaia fulvomarginata 54449cz53.jpg",714,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/714.jpg,Bangalaia fulvomarginata,Bangalaia fulvomarginata,Cerambycidae,Lamiinae,Bangalaia,fulvomarginata,,AT,CD,"Congo, The Democratic Republic of the",,Pangala,,Dorsal
"Cerambycidae, Lamiinae/Bangalaia fulvomarginata 54457cz60.jpg",715,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/715.jpg,Bangalaia fulvomarginata,Bangalaia fulvomarginata,Cerambycidae,Lamiinae,Bangalaia,fulvomarginata,,AT,CD,"Congo, The Democratic Republic of the",,Pangala,,Lateral
"Cerambycidae, Lamiinae/Baraeus aurisecator 55344cz50.JPG",716,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/716.jpg,Baraeus aurisecator,Baraeus aurisecator,Cerambycidae,Lamiinae,Baraeus,aurisecator,,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
"Cerambycidae, Lamiinae/Baraeus aurisecator 55351cz58.jpg",717,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/717.jpg,Baraeus aurisecator,Baraeus aurisecator,Cerambycidae,Lamiinae,Baraeus,aurisecator,,AT,GA,Gabon,Bas-Ogooué ,,,Lateral
"Cerambycidae, Lamiinae/Baraeus taeniolatus 55359cz63.jpg",718,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/718.jpg,Baraeus taeniolatus,Baraeus taeniolatus,Cerambycidae,Lamiinae,Baraeus,taeniolatus,,AT,CF,Central African Republic,,Fort Crampel,,Dorsal
"Cerambycidae, Lamiinae/Callimation pontificum 52710cz14.jpg",719,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/719.jpg,Callimation pontificum,Callimation pontificum,Cerambycidae,Lamiinae,Callimation,pontificum,,AT,CI,Côte d'Ivoire ,N'zi-Comoé ,Dimbokro ,,Dorsal
"Cerambycidae, Lamiinae/Callimation venustum 52704cz09.jpg",720,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/720.jpg,Callimation venustum,Callimation venustum,Cerambycidae,Lamiinae,Callimation,venustum,,AT,MG,Madagascar,,Miarinarivo,,Dorsal
"Cerambycidae, Lamiinae/Callimetopus albutoides 55498cz02.jpg",721,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/721.jpg,Callimetopus albutoides,Callimetopus albutoides,Cerambycidae,Lamiinae,Callimetopus,albutoides,,OL,ID,Indonesia,Java,Buitenzorg (=Bogor),,Dorsal
"Cerambycidae, Lamiinae/Callimetopus albutoides 55503cz06.jpg",722,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/722.jpg,Callimetopus albutoides,Callimetopus albutoides,Cerambycidae,Lamiinae,Callimetopus,albutoides,,OL,ID,Indonesia,Java,Buitenzorg (=Bogor),,Lateral
"Cerambycidae, Lamiinae/Cedemon tristis 52683cz89.jpg",723,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/723.jpg,Cedemon tristis,Cedemon tristis,Cerambycidae,Lamiinae,Cedemon,tristis,,AT,MG,Madagascar,,Fianarantsoa,12/1892,Dorsal
"Cerambycidae, Lamiinae/Celosterna pulchelator  56358cz64.jpg",724,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/724.jpg,Celosterna pulchelator,Celosterna pulchelator,Cerambycidae,Lamiinae,Celosterna,pulchelator,,OL,PH,Philippines,,,,Dorsal
"Cerambycidae, Lamiinae/Celosterna pulchelator 56365cz70.jpg",725,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/725.jpg,Celosterna pulchelator,Celosterna pulchelator,Cerambycidae,Lamiinae,Celosterna,pulchelator,,OL,PH,Philippines,,,,Dorsal
"Cerambycidae, Lamiinae/Celosterna pulchelator 56402cz10.jpg",726,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/726.jpg,Celosterna pulchelator,Celosterna pulchelator,Cerambycidae,Lamiinae,Celosterna,pulchelator,,OL,PH,Philippines,,,,Lateral
"Cerambycidae, Lamiinae/Celosterna scabrator renei 56371cz76.jpg",727,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/727.jpg,Celosterna scabrator renei,Celosterna scabrator renei,Cerambycidae,Lamiinae,Celosterna,scabrator,renei,OL,IN,India,Pulney Hills ,Kodaikanal ,05/1911,Dorsal
"Cerambycidae, Lamiinae/Celosterna scabrator renei 56377cz83.jpg",728,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/728.jpg,Celosterna scabrator renei,Celosterna scabrator renei,Cerambycidae,Lamiinae,Celosterna,scabrator,renei,OL,IN,India,Pulney Hills ,Kodaikanal ,05/1911,Lateral
"Cerambycidae, Lamiinae/Chariesthes antennata 52641cz44.jpg",729,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/729.jpg,Chariesthes antennata,Chariesthes antennata,Cerambycidae,Lamiinae,Chariesthes,antennata,,AT,GQ,Equatorial Guinea,,Nkolentangan,05/1908,Dorsal
"Cerambycidae, Lamiinae/Chariesthes richteri 52662cz68.jpg",730,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/730.jpg,Chariesthes richteri,Chariesthes richteri,Cerambycidae,Lamiinae,Chariesthes,richteri,,AT,GQ,Equatorial Guinea,,Nkolentangan,05/1908,Dorsal
"Cerambycidae, Lamiinae/Chariesthes rutila 52669cz76.jpg",731,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/731.jpg,Chariesthes rutila,Chariesthes rutila,Cerambycidae,Lamiinae,Chariesthes,rutila,,AT,GA,Gabon,,,,Dorsal
"Cerambycidae, Lamiinae/Chariesthoides unicolor HT 52645cz52.jpg",733,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/733.jpg,Chariesthoides unicolor,Chariesthoides unicolor HT,Cerambycidae,Lamiinae,Chariesthoides,unicolor,,AT,GA,Gabon,,,,Dorsal
"Cerambycidae, Lamiinae/Chariesthoides unicolor HT 52653cz60.jpg",734,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/734.jpg,Chariesthoides unicolor,Chariesthoides unicolor HT,Cerambycidae,Lamiinae,Chariesthoides,unicolor,,AT,GA,Gabon,,,,Lateral
"Cerambycidae, Lamiinae/Choeromorpha albofasciata 52523cz28.jpg",735,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/735.jpg,Choeromorpha albofasciata,Choeromorpha albofasciata,Cerambycidae,Lamiinae,Choeromorpha,albofasciata,,OL,ID,Indonesia,Borneo,Martapura,1891,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha pigra 52543cz48.jpg",736,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/736.jpg,Choeromorpha pigra,Choeromorpha pigra,Cerambycidae,Lamiinae,Choeromorpha,pigra,,OL,ID,Indonesia,Java,,,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha polynesa 52529cz34.jpg",737,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/737.jpg,Choeromorpha polynesa,Choeromorpha polynesa,Cerambycidae,Lamiinae,Choeromorpha,polynesa,,OL,ID,Indonesia,Borneo,Pontianak,1899,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha polynesa 52535cz42.jpg",738,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/738.jpg,Choeromorpha polynesa,Choeromorpha polynesa,Cerambycidae,Lamiinae,Choeromorpha,polynesa,,OL,ID,Indonesia,Borneo,Pontianak,1899,Labels
"Cerambycidae, Lamiinae/Choeromorpha subfasciata 52549cz53.jpg",739,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/739.jpg,Choeromorpha subfasciata,Choeromorpha subfasciata,Cerambycidae,Lamiinae,Choeromorpha,subfasciata,,OL,LA,Lao People's Democratic Republic,,,15/06/1966,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha subviolacea 52554cz59.jpg",740,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/740.jpg,Choeromorpha subviolacea,Choeromorpha subviolacea,Cerambycidae,Lamiinae,Choeromorpha,subviolacea,,OL,PH,Philippines,"Mindanao, Cotabato","Lake Sebu, Mount Tasaday",06/1994,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha wallacei  52560cz66.jpg",741,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/741.jpg,Choeromorpha wallacei,Choeromorpha wallacei,Cerambycidae,Lamiinae,Choeromorpha,wallacei,,OL,ID,Indonesia,Borneo,,,Dorsal
"Cerambycidae, Lamiinae/Choeromorpha wallacei 52567cz73.jpg",742,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/742.jpg,Choeromorpha wallacei,Choeromorpha wallacei,Cerambycidae,Lamiinae,Choeromorpha,wallacei,,OL,ID,Indonesia,Borneo,,,Lateral
"Cerambycidae, Lamiinae/Cloniocerus hystrix  54616cz23.jpg",743,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/743.jpg,Cloniocerus hystrix,Cloniocerus hystrix,Cerambycidae,Lamiinae,Cloniocerus,hystrix,,AT,ZA,South Africa,Cape Province ,,,Dorsal
"Cerambycidae, Lamiinae/Cloniocerus kraussi 54624cz29.jpg",744,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/744.jpg,Cloniocerus kraussi,Cloniocerus kraussi,Cerambycidae,Lamiinae,Cloniocerus,kraussi,,AT,ZA,South Africa,KwaZulu-Natal ,,,Dorsal
"Cerambycidae, Lamiinae/Cloniocerus kraussi 54630cz39.jpg",745,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/745.jpg,Cloniocerus kraussi,Cloniocerus kraussi,Cerambycidae,Lamiinae,Cloniocerus,kraussi,,AT,ZA,South Africa,KwaZulu-Natal ,,,Lateral
"Cerambycidae, Lamiinae/Cornuscoparia annulicornis 56828cz36.jpg",746,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/746.jpg,Cornuscoparia annulicornis,Cornuscoparia annulicornis,Cerambycidae,Lamiinae,Cornuscoparia,annulicornis,,AU,PG,Papua New Guinea,,,,Lateral
"Cerambycidae, Lamiinae/Cornuscoparia annulicornis 56840cz44.jpg",747,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/747.jpg,Cornuscoparia annulicornis,Cornuscoparia annulicornis,Cerambycidae,Lamiinae,Cornuscoparia,annulicornis,,AU,PG,Papua New Guinea,,,,Dorsal
"Cerambycidae, Lamiinae/Cotops albonotata 52574cz79.jpg",748,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/748.jpg,Cotops albonotata,Cotops albonotata,Cerambycidae,Lamiinae,Cotops,albonotata,,PA,CN,China,Yunnan ,,,Dorsal
"Cerambycidae, Lamiinae/Cotops rufa 52580cz86.jpg",749,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/749.jpg,Cotops rufa,Cotops rufa,Cerambycidae,Lamiinae,Cotops,rufa,,OL,IN,India,Andaman Islands ,,,Dorsal
"Cerambycidae, Lamiinae/Cremnosterna carissima 56384cz89.jpg",750,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/750.jpg,Cremnosterna carissima,Cremnosterna carissima,Cerambycidae,Lamiinae,Cremnosterna,carissima,,OL,LA,Lao People's Democratic Republic,,,07/1913,Dorsal
"Cerambycidae, Lamiinae/Cremnosterna carissima 56390cz94.jpg",751,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/751.jpg,Cremnosterna carissima,Cremnosterna carissima,Cerambycidae,Lamiinae,Cremnosterna,carissima,,OL,LA,Lao People's Democratic Republic,,Thakhek ,,Dorsal
"Cerambycidae, Lamiinae/Cremnosterna carissima 56395cz00.jpg",752,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/752.jpg,Cremnosterna carissima,Cremnosterna carissima,Cerambycidae,Lamiinae,Cremnosterna,carissima,,OL,LA,Lao People's Democratic Republic,,,20/05/1961,Dorsal
