unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
961,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/961.jpg,Prosopocera lactator,Prosopocera lactator,Cerambycidae,Lamiinae,Prosopocera,lactator,,AT,CF,Central African Republic,,Fort Crampel,,Dorsal
962,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/962.jpg,Prosopocera lactator,Prosopocera lactator,Cerambycidae,Lamiinae,Prosopocera,lactator,,AT,CF,Central African Republic,,Fort Crampel,,Dorsal
963,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/963.jpg,Prosopocera lactator bimaculata,Prosopocera lactator bimaculata,Cerambycidae,Lamiinae,Prosopocera,lactator,bimaculata,AT,CD,"Congo, The Democratic Republic of the",Katanga ,Kafakumba,11/1937,Dorsal
964,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/964.jpg,Prosopocera lactator plagiatrix,Prosopocera lactator plagiatrix,Cerambycidae,Lamiinae,Prosopocera,lactator,plagiatrix,AT,CF,Central African Republic,,,,Dorsal
965,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/965.jpg,Prosopocera lactator poggei,Prosopocera lactator poggei,Cerambycidae,Lamiinae,Prosopocera,lactator,poggei,AT,ZW,Zimbabwe,,Umtali,,Dorsal
966,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/966.jpg,Prosopocera lactator poggei,Prosopocera lactator poggei,Cerambycidae,Lamiinae,Prosopocera,lactator,poggei,AT,ZW,Zimbabwe,,Umtali,,Frontal
967,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/967.jpg,Prosopocera myops,Prosopocera myops,Cerambycidae,Lamiinae,Prosopocera,myops,,AT,CD,"Congo, The Democratic Republic of the",,,1895,Dorsal
968,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/968.jpg,Prosopocera senilis ochrescens,Prosopocera senilis ochrescens,Cerambycidae,Lamiinae,Prosopocera,senilis,ochrescens,AT,CD,"Congo, The Democratic Republic of the",,,,Dorsal
969,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/969.jpg,Prosopocera stigmatifrons,Prosopocera stigmatifrons,Cerambycidae,Lamiinae,Prosopocera,stigmatifrons,,AT,TG,Togo,,,,Dorsal
970,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/970.jpg,Protorhopala sexnotata,Protorhopala sexnotata,Cerambycidae,Lamiinae,Protorhopala,sexnotata,,AT,MG,Madagascar,,Mahatsinjo,,Dorsal
971,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/971.jpg,Protorhopala sexnotata,Protorhopala sexnotata,Cerambycidae,Lamiinae,Protorhopala,sexnotata,,AT,MG,Madagascar,,Mahatsinjo,,Dorsal
972,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/972.jpg,Pseudechthistatus obliquefasciatus,Pseudechthistatus obliquefasciatus,Cerambycidae,Lamiinae,Pseudechthistatus,obliquefasciatus,,PA,CN,China,Yunnan ,Tali,,Dorsal
973,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/973.jpg,Pseudechthistatus obliquefasciatus,Pseudechthistatus obliquefasciatus,Cerambycidae,Lamiinae,Pseudechthistatus,obliquefasciatus,,PA,CN,China,Yunnan ,Tali,,Lateral
974,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/974.jpg,Pterochaos nebulosus,Pterochaos nebulosus,Cerambycidae,Lamiinae,Pterochaos,nebulosus,,AT,BJ,Benin,,Ketu (=Kétou),,Lateral
975,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/975.jpg,Pterochaos nebulosus,Pterochaos nebulosus,Cerambycidae,Lamiinae,Pterochaos,nebulosus,,AT,BJ,Benin,,,,Dorsal
976,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/976.jpg,Pterolophia pseudocaudata,Pterolophia pseudocaudata,Cerambycidae,Lamiinae,Pterolophia,pseudocaudata,,AT,CM,Cameroon,,Ueleburg,07/1903,Dorsal
977,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/977.jpg,Pterolophia zebrina,Pterolophia zebrina,Cerambycidae,Lamiinae,Pterolophia,zebrina,,PA,CN,China,Yunnan ,Hang-Kia-Pin (=between Dali/Lijiang-North of Jizu Shan),07/1903,Dorsal
978,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/978.jpg,Pteroplicus acuminatus,Pteroplicus acuminatus,Cerambycidae,Lamiinae,Pteroplicus,acuminatus,,NT,BR,Brazil,,,,Dorsal
979,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/979.jpg,Pteroplicus acuminatus,Pteroplicus acuminatus,Cerambycidae,Lamiinae,Pteroplicus,acuminatus,,NT,BR,Brazil,,,,Lateral
980,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/980.jpg,Rhaphidopsis melaleuca,Rhaphidopsis melaleuca,Cerambycidae,Lamiinae,Rhaphidopsis,melaleuca,,AT,ZA,South Africa,Transvaal,,,Dorsal
981,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/981.jpg,Rhaphidopsis zonaria,Rhaphidopsis zonaria,Cerambycidae,Lamiinae,Rhaphidopsis,zonaria,,AT,ZA,South Africa,KwaZulu-Natal ,,,Dorsal
982,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/982.jpg,Rhaphiptera nodifera,Rhaphiptera nodifera,Cerambycidae,Lamiinae,Rhaphiptera,nodifera,,NT,BR,Brazil,Goiás ,Rio Verde ,,Dorsal
985,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/985.jpg,Rhytiphora argus,Rhytiphora argus,Cerambycidae,Lamiinae,Rhytiphora,argus,,AU,AU,Australia,Western Australia ,Swan River,,Lateral
986,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/986.jpg,Rhytiphora rugicollis,Rhytiphora rugicollis,Cerambycidae,Lamiinae,Rhytiphora,rugicollis,,AU,AU,Australia,Queensland ,,,Dorsal
987,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/987.jpg,Rhytiphora rugicollis,Rhytiphora rugicollis,Cerambycidae,Lamiinae,Rhytiphora,rugicollis,,AU,AU,Australia,Queensland ,,,Lateral
988,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/988.jpg,Rhytiphora sammia,Rhytiphora sammia,Cerambycidae,Lamiinae,Rhytiphora,sammia,,AU,AU,Australia,Queensland ,,,Lateral
989,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/989.jpg,Rhytiphora sammia,Rhytiphora sammia,Cerambycidae,Lamiinae,Rhytiphora,sammia,,AU,AU,Australia,Queensland ,,,Dorsal
990,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/990.jpg,Rhytiphora saundersi,Rhytiphora saundersi,Cerambycidae,Lamiinae,Rhytiphora,saundersi,,AU,AU,Australia,,,,Dorsal
991,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/991.jpg,Rhytiphora saundersi,Rhytiphora saundersi,Cerambycidae,Lamiinae,Rhytiphora,saundersi,,AU,AU,Australia,,,,Lateral Head
992,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/992.jpg,Sphingonotus mirabilis,Sphingonotus mirabilis,Cerambycidae,Lamiinae,Sphingonotus,mirabilis,,AU,PG,Papua New Guinea,,,,Dorsal
993,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/993.jpg,Spodotaenia basicornis,Spodotaenia basicornis,Cerambycidae,Lamiinae,Spodotaenia,basicornis,,AT,,,,,,Dorsal
995,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/995.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,,,Dorsal Head
996,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/996.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,,,Lateral Head
997,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/997.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,,,Dorsal
998,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/998.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,,,Lateral
999,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/999.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,Vohemar,,Dorsal
1000,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1000.jpg,Stellognatha maculata,Stellognatha maculata,Cerambycidae,Lamiinae,Stellognatha,maculata,,AT,MG,Madagascar,,Vohemar,,Lateral
1001,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1001.jpg,Sternotomis amabilis sylvia,Sternotomis amabilis sylvia,Cerambycidae,Lamiinae,Sternotomis,amabilis,sylvia,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1002,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1002.jpg,Sternotomis amabilis,Sternotomis amabilis,Cerambycidae,Lamiinae,Sternotomis,amabilis,,AT,CD,"Congo, The Democratic Republic of the",,,,Dorsal
1003,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1003.jpg,Sternotomis amabilis,Sternotomis amabilis,Cerambycidae,Lamiinae,Sternotomis,amabilis,,AT,CD,"Congo, The Democratic Republic of the",,,,Lateral
1004,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1004.jpg,Sternotomis amabilis,Sternotomis amabilis,Cerambycidae,Lamiinae,Sternotomis,amabilis,,AT,CD,"Congo, The Democratic Republic of the",,,,Dorsal
1005,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1005.jpg,Sternotomis amabilis,Sternotomis amabilis,Cerambycidae,Lamiinae,Sternotomis,amabilis,,AT,CD,"Congo, The Democratic Republic of the",,,,Lateral
1006,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1006.jpg,Sternotomis amabilis ochreomaculata,Sternotomis amabilis ochreomaculata PT,Cerambycidae,Lamiinae,Sternotomis,amabilis,ochreomaculata,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1007,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1007.jpg,Sternotomis amabilis ochreomaculata,Sternotomis amabilis ochreomaculata PT,Cerambycidae,Lamiinae,Sternotomis,amabilis,ochreomaculata,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1008,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1008.jpg,Sternotomis amabilis ochreomaculata,Sternotomis amabilis ochreomaculata PT,Cerambycidae,Lamiinae,Sternotomis,amabilis,ochreomaculata,AT,GA,Gabon,Bas-Ogooué ,,,Frontal
1009,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1009.jpg,Sternotomis amabilis ochreomaculata,Sternotomis amabilis ochreomaculata PT,Cerambycidae,Lamiinae,Sternotomis,amabilis,ochreomaculata,AT,GA,Gabon,Bas-Ogooué ,,,Labels
1010,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1010.jpg,Sternotomis amabilis submaculata,Sternotomis amabilis submaculata,Cerambycidae,Lamiinae,Sternotomis,amabilis,submaculata,AT,,,,,,Dorsal
1011,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1011.jpg,Sternotomis amabilis submaculata,Sternotomis amabilis submaculata,Cerambycidae,Lamiinae,Sternotomis,amabilis,submaculata,AT,,,,,,Ventral
1012,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1012.jpg,Sternotomis amabilis submaculata,Sternotomis amabilis submaculata,Cerambycidae,Lamiinae,Sternotomis,amabilis,submaculata,AT,,,,,,Frontal
1013,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1013.jpg,Sternotomis amabilis sylvia,Sternotomis amabilis sylvia,Cerambycidae,Lamiinae,Sternotomis,amabilis,sylvia,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1014,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1014.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Usambara Mountains ,Pangani,1891,Dorsal
1015,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1015.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Usambara Mountains ,Pangani,1891,Lateral Head
1016,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1016.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,,,Dorsal
1017,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1017.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,,,Frontal
1018,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1018.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Zanzibar,,,Dorsal
1019,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1019.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,Durban ,,Lateral
1020,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1020.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,Durban ,,Dorsal
1021,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1021.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,Durban ,,Ventral
1022,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1022.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Zanzibar,,,Lateral
1023,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1023.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,,,Ventral
1024,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1024.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Zanzibar,,,Ventral
1025,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1025.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,TZ,"Tanzania, United Republic of ",Zanzibar,,,Dorsal
1026,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1026.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,ZA,South Africa,KwaZulu-Natal ,Durban ,,Dorsal
1027,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1027.jpg,Sternotomis bohemanni,Sternotomis bohemanni,Cerambycidae,Lamiinae,Sternotomis,bohemanni,,AT,GA,Gabon,,,,Dorsal
1028,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1028.jpg,Sternotomis bohemanni bohndorffi,Sternotomis bohemanni bohndorffi,Cerambycidae,Lamiinae,Sternotomis,bohemanni,bohndorffi,AT,CM,Cameroon,Tikar area,,10/1912,Dorsal
1029,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1029.jpg,Sternotomis bohemanni bohndorffi,Sternotomis bohemanni bohndorffi,Cerambycidae,Lamiinae,Sternotomis,bohemanni,bohndorffi,AT,CM,Cameroon,Tikar area,,10/1912,Ventral
1084,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1084.jpg,Sternotomis thomsoni,Sternotomis thomsoni,Cerambycidae,Lamiinae,Sternotomis,thomsoni,,AT,YT,Mayotte,,,1884,Ventral
1030,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1030.jpg,Sternotomis bohemanni bohndorffi,Sternotomis bohemanni bohndorffi,Cerambycidae,Lamiinae,Sternotomis,bohemanni,bohndorffi,AT,CD,"Congo, The Democratic Republic of the",,Stanleyville (=Kisangani),05/1936,Ventral
1031,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1031.jpg,Sternotomis bohemanni bohndorffi,Sternotomis bohemanni bohndorffi,Cerambycidae,Lamiinae,Sternotomis,bohemanni,bohndorffi,AT,CD,"Congo, The Democratic Republic of the",,Stanleyville (=Kisangani),05/1936,Ventral
1032,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1032.jpg,Sternotomis bohemanni bohndorffi,Sternotomis bohemanni bohndorffi,Cerambycidae,Lamiinae,Sternotomis,bohemanni,bohndorffi,AT,CD,"Congo, The Democratic Republic of the",Orientale,Mbamu,,Dorsal
1033,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1033.jpg,Sternotomis chrysopras,Sternotomis chrysopras,Cerambycidae,Lamiinae,Sternotomis,chrysopras,,AT,CM,Cameroon,Littoral Region ,Dibongo (Sanaga River),,Dorsal
1034,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1034.jpg,Sternotomis chrysopras,Sternotomis chrysopras,Cerambycidae,Lamiinae,Sternotomis,chrysopras,,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1035,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1035.jpg,Sternotomis chrysopras,Sternotomis chrysopras,Cerambycidae,Lamiinae,Sternotomis,chrysopras,,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
1036,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1036.jpg,Sternotomis chrysopras,Sternotomis chrysopras,Cerambycidae,Lamiinae,Sternotomis,chrysopras,,AT,GA,Gabon,Bas-Ogooué ,,,Lateral
1037,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1037.jpg,Sternotomis chrysopras,Sternotomis chrysopras,Cerambycidae,Lamiinae,Sternotomis,chrysopras,,AT,GA,Gabon,Bas-Ogooué ,,,Ventral
1038,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1038.jpg,Sternotomis ducalis,Sternotomis ducalis,Cerambycidae,Lamiinae,Sternotomis,ducalis,,AT,ST,São Tomé and Príncipe ,Príncipe ,Príncipe ,12/1990,Dorsal
1039,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1039.jpg,Sternotomis ducalis,Sternotomis ducalis,Cerambycidae,Lamiinae,Sternotomis,ducalis,,AT,ST,São Tomé and Príncipe ,Príncipe ,Príncipe ,12/1990,Dorsal
1040,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1040.jpg,Sternotomis ducalis,Sternotomis ducalis,Cerambycidae,Lamiinae,Sternotomis,ducalis,,AT,ST,São Tomé and Príncipe ,Príncipe ,Príncipe ,12/1990,Ventral
1041,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1041.jpg,Sternotomis ducalis rufozonatus,Sternotomis ducalis rufozonatus,Cerambycidae,Lamiinae,Sternotomis,ducalis,rufozonatus,AT,ST,São Tomé and Príncipe ,São Tomé ,,12/1990,Dorsal
1042,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1042.jpg,Sternotomis ducalis rufozonatus,Sternotomis ducalis rufozonatus,Cerambycidae,Lamiinae,Sternotomis,ducalis,rufozonatus,AT,ST,São Tomé and Príncipe ,São Tomé ,,12/1990,Lateral
1043,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1043.jpg,Sternotomis ducalis rufozonatus,Sternotomis ducalis rufozonatus,Cerambycidae,Lamiinae,Sternotomis,ducalis,rufozonatus,AT,ST,São Tomé and Príncipe ,São Tomé ,,12/1990,Ventral
1044,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1044.jpg,Sternotomis ducalis rufozonatus,Sternotomis ducalis rufozonatus,Cerambycidae,Lamiinae,Sternotomis,ducalis,rufozonatus,AT,ST,São Tomé and Príncipe ,São Tomé ,,12/1990,Dorsal
1045,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1045.jpg,Sternotomis fairmairei,Sternotomis fairmairei,Cerambycidae,Lamiinae,Sternotomis,fairmairei,,AT,SO,Somalia,Woqooyi Galbeed ,Berbera ,,Lateral Head
1046,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1046.jpg,Sternotomis fairmairei,Sternotomis fairmairei,Cerambycidae,Lamiinae,Sternotomis,fairmairei,,AT,SO,Somalia,Woqooyi Galbeed ,Berbera ,,Dorsal
1047,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1047.jpg,Sternotomis fairmairei,Sternotomis fairmairei,Cerambycidae,Lamiinae,Sternotomis,fairmairei,,AT,SO,Somalia,Woqooyi Galbeed ,Berbera ,,Lateral
1048,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1048.jpg,Sternotomis fairmairei,Sternotomis fairmairei,Cerambycidae,Lamiinae,Sternotomis,fairmairei,,AT,SO,Somalia,Woqooyi Galbeed ,Berbera ,,Labels
1049,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1049.jpg,Sternotomis flavescens,Sternotomis flavescens,Cerambycidae,Lamiinae,Sternotomis,flavescens,,AT,KE,Kenya,,Yala River,11/1915,Dorsal
1050,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1050.jpg,Sternotomis flavescens,Sternotomis flavescens,Cerambycidae,Lamiinae,Sternotomis,flavescens,,AT,KE,Kenya,,Yala River,11/1915,Lateral
1052,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1052.jpg,Sternotomis gama,Sternotomis gama,Cerambycidae,Lamiinae,Sternotomis,gama,,AT,CD,"Congo, The Democratic Republic of the",,Kimpako,07/11/1938,Dorsal
1053,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1053.jpg,Sternotomis gama,Sternotomis gama,Cerambycidae,Lamiinae,Sternotomis,gama,,AT,CD,"Congo, The Democratic Republic of the",,Kimpako,07/11/1938,Lateral
1054,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1054.jpg,Sternotomis itzingeri,Sternotomis itzingeri,Cerambycidae,Lamiinae,Sternotomis,itzingeri,,AT,BJ,Benin,,,,Dorsal
1055,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1055.jpg,Sternotomis itzingeri,Sternotomis itzingeri,Cerambycidae,Lamiinae,Sternotomis,itzingeri,,AT,BJ,Benin,,,,Ventral
1056,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1056.jpg,Sternotomis lemoulti,Sternotomis lemoulti,Cerambycidae,Lamiinae,Sternotomis,lemoulti,,AT,CI,Côte d'Ivoire ,N'zi-Comoé ,Dimbokro ,,Dorsal
1057,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1057.jpg,Sternotomis mirabilis,Sternotomis mirabilis,Cerambycidae,Lamiinae,Sternotomis,mirabilis,,AT,,,,,,Dorsal
1058,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1058.jpg,Sternotomis mirabilis torgavei,Sternotomis mirabilis torgavei,Cerambycidae,Lamiinae,Sternotomis,mirabilis,torgavei,AT,GA,Gabon,Bas-Ogooué ,,,Dorsal
