unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
24,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/24.jpg,Capnodis anthracina,Capnodis anthracina,Buprestidae,"",Capnodis,anthracina,,PA,IR,"Iran, Islamic Republic of",Persia,,1891,Ventral
25,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/25.jpg,Capnodis carbonaria,Capnodis carbonaria,Buprestidae,"",Capnodis,carbonaria,,PA,SY,Syrian Arab Republic,,Adra-Nebek,,Dorsal
26,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/26.jpg,Capnodis carbonaria,Capnodis carbonaria,Buprestidae,"",Capnodis,carbonaria,,PA,SY,Syrian Arab Republic,,Adra-Nebek,,Dorsal
27,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/27.jpg,Capnodis carbonaria,Capnodis carbonaria,Buprestidae,"",Capnodis,carbonaria,,PA,SY,Syrian Arab Republic,,Adra-Nebek,,Lateral
28,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/28.jpg,Capnodis carbonaria,Capnodis carbonaria,Buprestidae,"",Capnodis,carbonaria,,PA,SY,Syrian Arab Republic,,Adra-Nebek,,Ventral
29,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/29.jpg,Capnodis cariosa,Capnodis cariosa,Buprestidae,"",Capnodis,cariosa,,PA,TR,Turkey,Antalya,Kemer,05/08/1996,Dorsal
30,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/30.jpg,Capnodis cariosa,Capnodis cariosa,Buprestidae,"",Capnodis,cariosa,,PA,TR,Turkey,Antalya,Kemer,05/08/1996,Ventral
31,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/31.jpg,Capnodis cariosa,Capnodis cariosa,Buprestidae,"",Capnodis,cariosa,,PA,TR,Turkey,Hatay,Akbès,,Dorsal
32,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/32.jpg,Capnodis cariosa,Capnodis cariosa,Buprestidae,"",Capnodis,cariosa,,PA,TR,Turkey,Hatay,Akbès,,Ventral
33,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/33.jpg,Capnodis excisa,Capnodis excisa,Buprestidae,"",Capnodis,excisa,,PA,TM,Turkmenistan,,Repetek,04/1900,Dorsal
34,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/34.jpg,Capnodis excisa,Capnodis excisa,Buprestidae,"",Capnodis,excisa,,PA,TM,Turkmenistan,,Repetek,04/1900,Ventral
35,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/35.jpg,Capnodis milliaris,Capnodis milliaris,Buprestidae,"",Capnodis,milliaris,,PA,SY,Syrian Arab Republic,,Jordan Valley,,Dorsal
36,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/36.jpg,Capnodis milliaris,Capnodis milliaris,Buprestidae,"",Capnodis,milliaris,,PA,SY,Syrian Arab Republic,,Jordan Valley,,Ventral
37,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/37.jpg,Capnodis porosa,Capnodis porosa,Buprestidae,"",Capnodis,porosa,,PA,TR,Turkey,Hatay,Akbès,,Dorsal
38,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/38.jpg,Capnodis porosa,Capnodis porosa,Buprestidae,"",Capnodis,porosa,,PA,TR,Turkey,Hatay,Akbès,,Ventral
40,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/40.jpg,Chalcotaenia australiasae,Chalcotaenia australiasae,Buprestidae,"",Chalcotaenia,australiasae,,AU,AU,Australia,Western Australia ,Roebourne ,24/02/1947,Dorsal
41,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/41.jpg,Chalcotaenia australiasae,Chalcotaenia australiasae,Buprestidae,"",Chalcotaenia,australiasae,,AU,AU,Australia,Western Australia ,Roebourne ,24/02/1947,Dorsal
42,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/42.jpg,Chrysaspina ducarmei,Chrysaspina ducarmei,Buprestidae,"",Chrysaspina,ducarmei,,AT,CD,"Congo, The Democratic Republic of the",North Kivu ,Beni,04/2006,Ventral
43,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/43.jpg,Chrysaspina ducarmei,Chrysaspina ducarmei AT,Buprestidae,"",Chrysaspina,ducarmei,,AT,CD,"Congo, The Democratic Republic of the",North Kivu ,Beni,04/2006,Labels
44,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/44.jpg,Chrysaspina ducarmei,Chrysaspina ducarmei AT,Buprestidae,"",Chrysaspina,ducarmei,,AT,CD,"Congo, The Democratic Republic of the",North Kivu ,Beni,04/2006,Dorsal
45,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/45.jpg,Chrysochroa corberti,Chrysochroa corberti,Buprestidae,"",Chrysochroa,corberti,,OL,TH,Thailand,Chiang Rai,,06/1991,Dorsal
46,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/46.jpg,Chrysochroa corberti,Chrysochroa corberti,Buprestidae,"",Chrysochroa,corberti,,OL,TH,Thailand,Chiang Rai,,06/1991,Lateral
47,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/47.jpg,Chrysochroa gratiosa,Chrysochroa gratiosa,Buprestidae,"",Chrysochroa,gratiosa,,OL,MY,Malaysia,Perak,,,Dorsal
